0.0105240 0.5686540 -0.6711170 ; 0.0105020 0.5688740 -0.7339810
0.0330940 0.5331970 -0.6711170 ; 0.0268590 0.5551150 -0.6711170
0.0332450 0.5347760 -0.7256720 ; 0.0330940 0.5331970 -0.6711170
0.0268590 0.5551150 -0.6711170 ; 0.0332450 0.5347760 -0.7256720
0.0267730 0.5559160 -0.7324480 ; 0.0332450 0.5347760 -0.7256720
0.0268590 0.5112860 -0.6711170 ; 0.0330940 0.5331970 -0.6711170
0.0271290 0.5128560 -0.7075840 ; 0.0268590 0.5112860 -0.6711170
0.0330940 0.5331970 -0.6711170 ; 0.0271290 0.5128560 -0.7075840
0.0332450 0.5347760 -0.7256720 ; 0.0271290 0.5128560 -0.7075840
0.0105240 0.4977430 -0.6711170 ; 0.0268590 0.5112860 -0.6711170
0.0104840 0.4990050 -0.6861530 ; 0.0105240 0.4977430 -0.6711170
0.0268590 0.5112860 -0.6711170 ; 0.0104840 0.4990050 -0.6861530
0.0271290 0.5128560 -0.7075840 ; 0.0104840 0.4990050 -0.6861530
0.0101750 0.5673570 -0.6719260 ; 0.0105240 0.5686540 -0.6711170
0.0268590 0.5551150 -0.6711170 ; 0.0101750 0.5673570 -0.6719260
0.0258720 0.5542420 -0.6718860 ; 0.0101750 0.5673570 -0.6719260
0.0268590 0.5551150 -0.6711170 ; 0.0258720 0.5542420 -0.6718860
0.0330940 0.5331970 -0.6711170 ; 0.0258720 0.5542420 -0.6718860
0.0317600 0.5331430 -0.6718190 ; 0.0258720 0.5542420 -0.6718860
0.0330940 0.5331970 -0.6711170 ; 0.0317600 0.5331430 -0.6718190
0.0256830 0.5122010 -0.6717450 ; 0.0317600 0.5331430 -0.6718190
0.0330940 0.5331970 -0.6711170 ; 0.0256830 0.5122010 -0.6717450
0.0268590 0.5112860 -0.6711170 ; 0.0256830 0.5122010 -0.6717450
0.0100560 0.4993430 -0.6716990 ; 0.0256830 0.5122010 -0.6717450
